,client_id,date_order,quantity,sales_net,data_order_year_2017,data_order_year_2018,data_order_year_2019,data_order_quarter_1,data_order_quarter_2,data_order_quarter_3,data_order_quarter_4
28583447,2171433,2018-07-27,0.0,78.1908,0,1,0,0,0,1,0
21808274,478280,2018-06-11,0.0010001111,49.32396,0,1,0,0,1,0,0
6795322,1686478,2017-12-12,0.00055561727,1.4352,1,0,0,0,0,0,1
50115812,187332,2019-04-22,0.0,76.3416,0,0,1,0,1,0,0
58454022,1179931,2019-08-05,0.0,211.0296,0,0,1,0,0,1,0
26855779,2244789,2018-08-02,0.033225916,12.256393,0,1,0,0,0,1,0
451262,567596,2017-10-25,0.0010001111,48.64776,1,0,0,0,0,0,1
17073284,1339939,2018-04-04,0.00055561727,55.394733,0,1,0,0,1,0,0
41105681,1733135,2019-01-01,0.0025558397,73.68702,0,0,1,1,0,0,0
20578278,1451087,2018-05-28,0.0,1.1592,0,1,0,0,1,0,0
32406660,356213,2018-10-08,0.011001223,41.34811,0,1,0,0,0,0,1
271955,487025,2017-10-13,0.00055561727,81.06886,1,0,0,0,0,0,1
48286162,858075,2019-03-29,0.0,162.0396,0,0,1,1,0,0,0
17332273,2011853,2018-04-09,0.000111123445,87.584,0,1,0,0,1,0,0
31176866,317207,2018-09-19,0.0,20.8932,0,1,0,0,0,1,0
62433165,1288367,2019-09-10,0.00055561727,43.614132,0,0,1,0,0,1,0
35058588,2248502,2018-11-07,0.000111123445,37.766,0,1,0,0,0,0,1
6812245,621709,2017-12-04,0.0,19.5684,1,0,0,0,0,0,1
24000674,266310,2018-06-27,0.0,803.2704,0,1,0,0,1,0,0
42094575,406145,2019-01-25,0.000111123445,4.761,0,0,1,1,0,0,0
12262257,1923484,2018-02-14,0.000111123445,28.014,0,1,0,1,0,0,0
24159430,385826,2018-07-05,0.011001223,37.64971,0,1,0,0,0,1,0
31481468,1225497,2018-09-26,0.0043338146,0.07452,0,1,0,0,0,1,0
27580907,2095376,2018-07-13,0.0,57.8496,0,1,0,0,0,1,0
13029436,229026,2018-02-22,0.0,1.932,0,1,0,1,0,0,0
22939696,1632557,2018-06-22,0.0,156.5472,0,1,0,0,1,0,0
54043028,1445989,2019-06-19,0.0036670743,380.73062,0,0,1,0,1,0,0
23191454,1807467,2018-06-26,0.0054450496,167.1445,0,1,0,0,1,0,0
60214114,2022081,2019-08-22,0.000111123445,14.03,0,0,1,0,0,1,0
20868434,196461,2018-06-01,0.0,4.7472,0,1,0,0,1,0,0
22696038,1035245,2018-06-20,0.0,16.698,0,1,0,0,1,0,0
45650376,668864,2019-03-08,0.002666963,149.6748,0,0,1,1,0,0,0
43849942,656436,2019-02-08,0.000111123445,26.473,0,0,1,1,0,0,0
52669426,502685,2019-06-04,0.000111123445,32.499,0,0,1,0,1,0,0
40836672,1385163,2018-12-11,0.00022224693,1842.8704,0,1,0,0,0,0,1
60368798,2247355,2019-05-14,0.00033337035,44.712,0,0,1,0,1,0,0
34968968,928745,2018-10-24,0.13323703,54.560326,0,1,0,0,0,0,1
7365084,992384,2017-12-20,0.0055561727,66.72219,1,0,0,0,0,0,1
54687934,431137,2019-06-25,0.0010001111,42.85176,0,0,1,0,1,0,0
60586212,1705922,2019-08-22,0.0015557284,854.5733,0,0,1,0,0,1,0
54812182,1899257,2019-06-27,0.000111123445,21.528,0,0,1,0,1,0,0
42559985,766107,2019-01-30,0.0054450496,404.74094,0,0,1,1,0,0,0
61449083,425253,2019-08-29,0.0,0.3312,0,0,1,0,0,1,0
17906639,1790990,2018-04-16,0.0,99.4704,0,1,0,0,1,0,0
32573123,91749,2018-10-10,0.0,72.1464,0,1,0,0,0,0,1
8067151,205395,2017-12-25,0.0,44.3532,1,0,0,0,0,0,1
9187241,749713,2018-01-09,0.0,14.628,0,1,0,1,0,0,0
12422649,2221508,2018-02-13,0.0,153.18,0,1,0,1,0,0,0
2760631,1438680,2017-11-01,0.0012223581,8.855,1,0,0,0,0,0,1
41646752,1536566,2018-12-25,0.0,32.3472,0,1,0,0,0,0,1
46219642,414269,2019-03-13,0.0008889877,2.7968,0,0,1,1,0,0,0
14841390,1618045,2018-03-12,0.0,616.6944,0,1,0,1,0,0,0
40948461,397951,2019-01-10,0.0,333.96,0,0,1,1,0,0,0
58879049,1339893,2019-08-09,0.00044449384,25.78576,0,0,1,0,0,1,0
9043057,934429,2018-01-03,0.0,906.108,0,1,0,1,0,0,0
26358764,348351,2018-07-30,0.000111123445,475.571,0,1,0,0,0,1,0
53221027,65811,2019-06-12,0.000111123445,36.731,0,0,1,0,1,0,0
21388916,931891,2018-06-07,0.0054450496,61.773216,0,1,0,0,1,0,0
15956285,132626,2018-03-21,0.0021113458,104.2015,0,1,0,1,0,0,0
36605158,239353,2018-11-22,0.0015557284,64.835464,0,1,0,0,0,0,1
3534443,655593,2017-11-06,0.0,16.008,1,0,0,0,0,0,1
57218860,264820,2019-07-23,0.0,28.566,0,0,1,0,0,1,0
44361465,1738186,2019-02-21,0.000111123445,4.508,0,0,1,1,0,0,0
26206046,2174946,2018-07-13,0.0,383.502,0,1,0,0,0,1,0
45067135,1765043,2019-02-28,0.0,0.552,0,0,1,1,0,0,0
61430331,569729,2019-08-30,0.00044449384,320.94568,0,0,1,0,0,1,0
31792484,1824559,2018-10-01,0.00022224693,19.040934,0,1,0,0,0,0,1
60771691,2223596,2019-08-26,0.00033337035,14.5728,0,0,1,0,0,1,0
30602530,38207,2018-09-10,0.0025558397,151.2434,0,1,0,0,0,1,0
22723492,222738,2018-06-20,0.0,74.0232,0,1,0,0,1,0,0
39866297,453474,2018-12-25,0.0,2.3184,0,1,0,0,0,0,1
26417726,140369,2018-07-30,0.0,27.4896,0,1,0,0,0,1,0
52607915,1508436,2019-06-05,0.0027780866,63.35049,0,0,1,0,1,0,0
5090988,369856,2017-11-16,0.2221358,1269.9174,1,0,0,0,0,0,1
18738261,1517824,2018-04-30,0.0,36.8184,0,1,0,0,1,0,0
48151037,668056,2019-04-02,0.0,507.0396,0,0,1,0,1,0,0
49879336,1562125,2019-04-16,0.0,130.2996,0,0,1,0,1,0,0
28545195,928808,2018-08-22,0.027669743,1335.1008,0,1,0,0,0,1,0
908592,1897702,2017-09-29,0.000111123445,32.821,1,0,0,0,0,1,0
43394734,2159028,2019-02-08,0.0043338146,186.3,0,0,1,1,0,0,0
18411482,709493,2018-03-07,0.02211357,24.772978,0,1,0,1,0,0,0
7115486,339937,2017-11-21,0.0021113458,70.97018,1,0,0,0,0,0,1
41564902,1560502,2019-01-17,0.0,17.0292,0,0,1,1,0,0,0
3121317,1019598,2017-09-28,0.0025558397,203.3108,1,0,0,0,0,1,0
56729300,642457,2019-07-16,0.0,19.044,0,0,1,0,0,1,0
44690380,171616,2019-02-27,0.0,6.3204,0,0,1,1,0,0,0
20529416,1226524,2018-04-13,0.0036670743,52.6884,0,1,0,0,1,0,0
61614197,1135942,2019-09-03,0.0013334815,48.01763,0,0,1,0,0,1,0
60631219,907727,2019-08-23,0.00055561727,300.9734,0,0,1,0,0,1,0
23489743,2076523,2018-06-28,0.00033337035,34.4034,0,1,0,0,1,0,0
25882072,1082190,2018-07-26,0.0,100.9332,0,1,0,0,0,1,0
1218830,1765244,2017-09-28,0.00055561727,22.3652,1,0,0,0,0,1,0
5339642,1311936,2017-11-23,0.0043338146,13.37634,1,0,0,0,0,0,1
58821684,1242058,2019-08-02,0.0010001111,52.164,0,0,1,0,0,1,0
6393748,1960750,2017-12-07,0.0,65.7432,1,0,0,0,0,0,1
57094823,260143,2019-07-22,0.00055561727,44.630733,0,0,1,0,0,1,0
15905,130081,2017-10-03,0.06656295,127.3052,1,0,0,0,0,0,1
57747724,135325,2019-07-17,0.011001223,75.8172,0,0,1,0,0,1,0
61678940,359382,2019-08-29,0.011001223,146.27171,0,0,1,0,0,1,0
16323106,1053524,2018-03-26,0.00066674076,124.65343,0,1,0,1,0,0,0
82424,974153,2017-10-02,0.0,442.8144,1,0,0,0,0,0,1
46189865,2059559,2019-03-13,0.0,104.9904,0,0,1,1,0,0,0
46852318,2159233,2019-03-20,0.00033337035,235.2348,0,0,1,1,0,0,0
7376436,385150,2017-12-15,0.00022224693,312.4044,1,0,0,0,0,0,1
8499297,1708388,2018-01-01,0.0,151.2204,0,1,0,1,0,0,0
29766284,787343,2018-09-03,0.00033337035,20.5344,0,1,0,0,0,1,0
38738182,1279952,2018-12-14,0.00044449384,69.26128,0,1,0,0,0,0,1
57854140,1069175,2019-07-23,0.0,227.6172,0,0,1,0,0,1,0
4117617,810485,2017-11-10,0.00033337035,33.6996,1,0,0,0,0,0,1
49566007,2159009,2019-04-22,0.0,286.488,0,0,1,0,1,0,0
46969799,1910840,2019-03-21,0.0,193.5864,0,0,1,1,0,0,0
39535793,988397,2018-12-25,0.00022224693,68.264,0,1,0,0,0,0,1
28285345,644375,2018-08-20,0.011001223,133.99303,0,1,0,0,0,1,0
34984690,243718,2018-11-06,0.011001223,102.66759,0,1,0,0,0,0,1
61411470,1663835,2019-09-02,0.0010001111,51.37188,0,0,1,0,0,1,0
32080694,775477,2018-09-05,0.0012223581,141.795,0,1,0,0,0,1,0
22172939,1617875,2018-06-15,0.0,84.87,0,1,0,0,1,0,0
22059978,450892,2018-06-13,0.011001223,20.877468,0,1,0,0,1,0,0
39406139,184897,2018-11-15,0.0,62.1552,0,1,0,0,0,0,1
25585722,1898572,2018-07-18,0.0,940.7736,0,1,0,0,0,1,0
42316707,744347,2019-01-23,0.000111123445,10.718,0,0,1,1,0,0,0
